barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
4067979773966,397462-04,Puma Karmen II Idol SD,36,87,44,2,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979773980,397462-04,Puma Karmen II Idol SD,37,87,44,2,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979774000,397462-04,Puma Karmen II Idol SD,37.5,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979774024,397462-04,Puma Karmen II Idol SD,38,87,44,2,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979774048,397462-04,Puma Karmen II Idol SD,38.5,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979774062,397462-04,Puma Karmen II Idol SD,39,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4067979774079,397462-04,Puma Karmen II Idol SD,40,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161359941,692169-02,PUMA SPORT Relaxed Graphic Tee,XL,27,13.75,1,1/21/2026,MALE,SS26,APP,PUMA
4069161359965,692169-02,PUMA SPORT Relaxed Graphic Tee,L,27,13.75,2,1/21/2026,MALE,SS26,APP,PUMA
4069161359972,692169-02,PUMA SPORT Relaxed Graphic Tee,M,27,13.75,1,1/21/2026,MALE,SS26,APP,PUMA
4069161360008,692169-01,PUMA SPORT Relaxed Graphic Tee,XL,27,13.75,1,1/21/2026,MALE,SS26,APP,PUMA
4069161360022,692169-01,PUMA SPORT Relaxed Graphic Tee,L,27,13.75,2,1/21/2026,MALE,SS26,APP,PUMA
4069161360039,692169-01,PUMA SPORT Relaxed Graphic Tee,M,27,13.75,1,1/21/2026,MALE,SS26,APP,PUMA
4069161547256,404486-04,PUMA Caven III SD,44,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161547355,404486-04,PUMA Caven III SD,42,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161547362,404486-04,PUMA Caven III SD,43,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161547416,404486-04,PUMA Caven III SD,41,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161547423,404486-04,PUMA Caven III SD,42.5,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161547430,404486-04,PUMA Caven III SD,44.5,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161553455,404486-01,PUMA Caven III SD,44,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161553554,404486-01,PUMA Caven III SD,42,76,38.5,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161553561,404486-01,PUMA Caven III SD,43,76,38.5,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161553615,404486-01,PUMA Caven III SD,41,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161553622,404486-01,PUMA Caven III SD,42.5,76,38.5,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161553639,404486-01,PUMA Caven III SD,44.5,76,38.5,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161612732,406203-03,PUMA Fade Nitro LS,44,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161612770,406203-03,PUMA Fade Nitro LS,45,130,66,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161612824,406203-03,PUMA Fade Nitro LS,40.5,130,66,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161612831,406203-03,PUMA Fade Nitro LS,42,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161612848,406203-03,PUMA Fade Nitro LS,43,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161612893,406203-03,PUMA Fade Nitro LS,41,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161612909,406203-03,PUMA Fade Nitro LS,42.5,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161612916,406203-03,PUMA Fade Nitro LS,44.5,130,66,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161777523,402597-05,PUMA Shuffle Downtown SD,44,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161777622,402597-05,PUMA Shuffle Downtown SD,42,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161777639,402597-05,PUMA Shuffle Downtown SD,43,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161777684,402597-05,PUMA Shuffle Downtown SD,41,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161777691,402597-05,PUMA Shuffle Downtown SD,42.5,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161777707,402597-05,PUMA Shuffle Downtown SD,44.5,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161778810,402597-07,PUMA Shuffle Downtown SD,44,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161778919,402597-07,PUMA Shuffle Downtown SD,42,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161778926,402597-07,PUMA Shuffle Downtown SD,43,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161778971,402597-07,PUMA Shuffle Downtown SD,41,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161778988,402597-07,PUMA Shuffle Downtown SD,42.5,71,35.75,2,1/21/2026,MALE,SS26,FTW,PUMA
4069161778995,402597-07,PUMA Shuffle Downtown SD,44.5,71,35.75,1,1/21/2026,MALE,SS26,FTW,PUMA
4069161782503,397462-19,PUMA Karmen II Idol SD,37,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782510,397462-19,PUMA Karmen II Idol SD,38,87,44,2,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782527,397462-19,PUMA Karmen II Idol SD,39,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782565,397462-19,PUMA Karmen II Idol SD,36,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782572,397462-19,PUMA Karmen II Idol SD,37.5,87,44,2,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782589,397462-19,PUMA Karmen II Idol SD,38.5,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161782596,397462-19,PUMA Karmen II Idol SD,40,87,44,1,1/21/2026,FEMALE,SS26,FTW,PUMA
4069161975042,691898-47,PUMA EVOSTRIPE Full-Zip Hoodie DK,S,81,41.25,1,1/21/2026,FEMALE,SS26,APP,PUMA
4069161975073,691898-47,PUMA EVOSTRIPE Full-Zip Hoodie DK,L,81,41.25,1,1/21/2026,FEMALE,SS26,APP,PUMA
4069161975080,691898-47,PUMA EVOSTRIPE Full-Zip Hoodie DK,M,81,41.25,2,1/21/2026,FEMALE,SS26,APP,PUMA
4069161975820,692190-01,PUMA EVOSTRIPE FZ Hoodie DK,XL,81,41.25,1,1/21/2026,MALE,SS26,APP,PUMA
4069161975844,692190-01,PUMA EVOSTRIPE FZ Hoodie DK,L,81,41.25,2,1/21/2026,MALE,SS26,APP,PUMA
4069161975851,692190-01,PUMA EVOSTRIPE FZ Hoodie DK,M,81,41.25,2,1/21/2026,MALE,SS26,APP,PUMA
4069161975868,692190-01,PUMA EVOSTRIPE FZ Hoodie DK,XXL,81,41.25,1,1/21/2026,MALE,SS26,APP,PUMA
4069161976162,692183-01,PUMA PUMATECH Pants DK cl,XL,65,33,1,1/21/2026,MALE,SS26,APP,PUMA
4069161976186,692183-01,PUMA PUMATECH Pants DK cl,L,65,33,2,1/21/2026,MALE,SS26,APP,PUMA
4069161976193,692183-01,PUMA PUMATECH Pants DK cl,M,65,33,2,1/21/2026,MALE,SS26,APP,PUMA
