barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
4068806094568,JP5969,BARREDA,36,70,35.75,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816266795,JP5969,BARREDA,36.2/3,70,35.75,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816266757,JP5969,BARREDA,37.1/3,70,35.75,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816270433,JP5969,BARREDA,38,70,35.75,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816266733,JP5969,BARREDA,38.2/3,70,35.75,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816266672,JP5969,BARREDA,39.1/3,70,35.75,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068816266665,JP5969,BARREDA,40,70,35.75,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806105554,IH9215,BARREDA DECODE J,36,59,30.25,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806101921,IH9215,BARREDA DECODE J,38,59,30.25,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907618932,JR0759,BARREDA DECODE J,36,59,30.25,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907618970,JR0759,BARREDA DECODE J,38,59,30.25,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806101921,IH9215,BARREDA DECODE J,38,59,30.25,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907618970,JR0759,BARREDA DECODE J,38,59,30.25,2,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907635892,JQ8854,BARREDA DECODE J,36,59,30.25,1,1/26/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907635915,JQ8854,BARREDA DECODE J,38,59,30.25,2,1/26/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907635892,JQ8854,BARREDA DECODE J,36,59,30.25,1,1/26/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067907635915,JQ8854,BARREDA DECODE J,38,59,30.25,2,1/26/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806059819,JP6729,BARREDA DECODE J,36,59,30.25,1,2/9/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806059840,JP6729,BARREDA DECODE J,38,59,30.25,2,2/9/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806059840,JP6729,BARREDA DECODE J,38,59,30.25,2,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806031891,JP6728,BARREDA DECODE J,36,59,30.25,1,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806031952,JP6728,BARREDA DECODE J,38,59,30.25,2,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068801902264,JR0762,BARREDA DECODE J,36,59,30.25,1,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068801902295,JR0762,BARREDA DECODE J,38,59,30.25,2,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806031891,JP6728,BARREDA DECODE J,36,59,30.25,1,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068806031952,JP6728,BARREDA DECODE J,38,59,30.25,2,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068801902264,JR0762,BARREDA DECODE J,36,59,30.25,1,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068801902295,JR0762,BARREDA DECODE J,38,59,30.25,2,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068812653421,JP6504,BREAK START BOLD J,36,54,27.5,3,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068812653438,JP6504,BREAK START BOLD J,38,54,27.5,4,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067906279172,JQ0133,BREAK START BOLD J,36,54,27.5,3,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067906279202,JQ0133,BREAK START BOLD J,38,54,27.5,4,2/18/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079098,IH5469,BREAKNET SLEEK,36,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079173,IH5469,BREAKNET SLEEK,36.2/3,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079081,IH5469,BREAKNET SLEEK,37.1/3,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079128,IH5469,BREAKNET SLEEK,38,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079135,IH5469,BREAKNET SLEEK,38.2/3,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067888079074,IH5469,BREAKNET SLEEK,39.1/3,65,33,1,1/15/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068807982864,IH1371,BREAKNET SLEEK,36,65,33,1,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068807982901,IH1371,BREAKNET SLEEK,36.2/3,65,33,1,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068807982895,IH1371,BREAKNET SLEEK,37.1/3,65,33,1,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068807982932,IH1371,BREAKNET SLEEK,38,65,33,1,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068807982918,IH1371,BREAKNET SLEEK,38.2/3,65,33,1,2/13/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
