barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
197863784977,HV2324-010,W NSW NK CLSSC OH PANT,XS,72,37.44,1,2/6/2026,FEMALE,SS26,APPAREL,NIKE
197863786575,HV2324-010,W NSW NK CLSSC OH PANT,S,72,37.44,1,2/6/2026,FEMALE,SS26,APPAREL,NIKE
197863804118,HV2324-010,W NSW NK CLSSC OH PANT,M,72,37.44,1,2/6/2026,FEMALE,SS26,APPAREL,NIKE
197864003541,HM4771-103,W NIKE PACIFIC,38.5,91,47.32,2,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864016794,HM4771-103,W NIKE PACIFIC,38,91,47.32,3,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864022023,HM4771-103,W NIKE PACIFIC,40,91,47.32,2,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864024720,HM4771-103,W NIKE PACIFIC,36,91,47.32,1,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864069561,HM4771-103,W NIKE PACIFIC,36.5,91,47.32,2,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864072813,HM4771-103,W NIKE PACIFIC,37.5,91,47.32,3,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
197864082492,HM4771-103,W NIKE PACIFIC,39,91,47.32,2,2/6/2026,FEMALE,SS26,FOOTWEAR,NIKE
198481387052,394053-005,WMNS NIKE INITIATOR,39,97,50.44,1,2/27/2026,FEMALE,SS26,FOOTWEAR,NIKE
198481388509,394053-005,WMNS NIKE INITIATOR,40,97,50.44,1,2/27/2026,FEMALE,SS26,FOOTWEAR,NIKE
198481392841,394053-005,WMNS NIKE INITIATOR,37.5,97,50.44,2,2/27/2026,FEMALE,SS26,FOOTWEAR,NIKE
198481393039,394053-005,WMNS NIKE INITIATOR,36,97,50.44,1,2/27/2026,FEMALE,SS26,FOOTWEAR,NIKE
198481393275,394053-005,WMNS NIKE INITIATOR,38,97,50.44,2,2/27/2026,FEMALE,SS26,FOOTWEAR,NIKE
198688626435,U40827E,U 408,36,103,53.56,1,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688626619,U40827E,U 408,37,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688627418,U40827E,U 408,40,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688627272,U40827E,U 408,39.5,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688627135,U40827E,U 408,38.5,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688626954,U40827E,U 408,38,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198688626800,U40827E,U 408,37.5,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198689435371,U4084S0,U 408,40,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198689435166,U4084S0,U 408,39.5,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687966099,U4084S0,U 408,38.5,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687965863,U4084S0,U 408,38,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687965603,U4084S0,U 408,37.5,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687965405,U4084S0,U 408,37,103,53.56,3,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687965177,U4084S0,U 408,36,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
198687993224,U4089BN,U 408,40,103,53.56,2,3/6/2026,FEMALE,SS26,FOOTWEAR,NEW BALANCE
