barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
4.05E+12,EG2656,42,45.5,1,16.01.2026,SALE
1.95E+11,CW6909-010,M,30.8,1,16.01.2026,SALE
4.06E+12,H12221,S,31.5,1,16.01.2026,SALE
4.07E+12,GX6762,43.1/3,54,1,16.01.2026,SALE
4.07E+12,HL2226,M,33,1,16.01.2026,SALE
4.07E+12,GW0433,38,31.5,1,16.01.2026,SALE
4.07E+12,IM0315,S,49,1,16.01.2026,SALE
4.07E+12,IM0333,S,45.5,1,16.01.2026,SALE
4.07E+12,IF7493,39.1/3,84,1,16.01.2026,SALE
4.07E+12,HL2230,L,30,1,16.01.2026,SALE
4.07E+12,HL2230,M,30,1,16.01.2026,SALE
4.07E+12,ID5239,38,98,1,16.01.2026,SALE
8.30E+12,D9655-200,43-46,8.8,1,16.01.2026,SALE
8.30E+12,D9655-200,39-42,-7.99999998,-1,16.01.2026,RETURN
8.30E+12,D9655-200,39-42,8.8,1,16.01.2026,SALE
4.07E+12,IZ4992,104,36,1,16.01.2026,SALE
8.30E+12,F4401-200,39/42,7.92,1,16.01.2026,SALE
8.30E+12,F9000-400,43/46,7.9,1,16.01.2026,SALE
8.30E+12,F9000-300,39/42,6.32,1,16.01.2026,SALE
4.07E+12,JG3697,L,8.01000048,1,16.01.2026,SALE
4.07E+12,JP7653,35,26.6,1,16.01.2026,SALE
8.05E+12,182010-C8106,22,15,1,16.01.2026,SALE
4.07E+12,JR0190,39.1/3,35,1,16.01.2026,SALE
4.07E+12,403739-03,38.5,35,1,16.01.2026,SALE
4.07E+12,JQ3690,40,31.5,1,16.01.2026,SALE
4.07E+12,JX5546,XL,68,1,16.01.2026,SALE
4.07E+12,JR0204,34,28,1,16.01.2026,SALE
4.07E+12,JR0206,35,28,1,16.01.2026,SALE
4.07E+12,JI8849,L,56,1,16.01.2026,SALE
4.07E+12,JQ2867,30,26.6,1,16.01.2026,SALE
4.07E+12,JQ2216,42.2/3,80,1,16.01.2026,SALE
4.07E+12,JQ2216,43.1/3,80,1,16.01.2026,SALE
8.30E+12,F9505-200/9,39/42,19.9,1,16.01.2026,SALE
8.30E+12,F9505-700/9,39/42,19.9,1,16.01.2026,SALE
