barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
820652979758,749680-005,44,39.9999999,1,06.05.2026,SALE
888407303906,AV8055-010,MISC,17.6,1,06.05.2026,SALE
4065424189942,H65817,80,26.4,1,06.05.2026,SALE
4065418600309,GV7801,33,27,1,06.05.2026,SALE
195237031184,DH2987-001,42.5,64.95000014,1,06.05.2026,SALE
8030631824791,174975-80013,L,31.5,1,06.05.2026,SALE
4066756079888,IE9690,42.2/3,39,1,06.05.2026,SALE
4066763926199,IE9255,38.2/3,39.20000002,1,06.05.2026,SALE
4067886939790,IE3474,29,26.6,1,06.05.2026,SALE
4066766961364,IS1316,XL,17.5,1,06.05.2026,SALE
4067887051989,IS1318,XL,20,1,06.05.2026,SALE
4066746443217,IC1306,M,8.4,1,06.05.2026,SALE
4067887081948,IS1343,L,17.5,1,06.05.2026,SALE
4067893407282,JG3998,25-27,10,1,06.05.2026,SALE
4067888917741,IE3790,33,28,1,06.05.2026,SALE
8300958100411,D9155-400,43-46,9,1,06.05.2026,SALE
8720245567879,701225850-003,23/26,7,1,06.05.2026,SALE
8053607529353,179551-D0866,42.5,77,1,06.05.2026,SALE
8059003021415,F9575-200,39/42,8.9,1,06.05.2026,SALE
4067983352133,629592-01,M,23.1,1,06.05.2026,SALE
4067897255131,IT2048,NS,14.4,1,06.05.2026,SALE
8053607569618,180468-70140,42.5,41.9999996,1,06.05.2026,SALE
91201781171,355152-016,43,70.7,1,06.05.2026,SALE
8054795233589,181447-C1362,XL,20,1,06.05.2026,SALE
8054795205593,182233-80013,S,35.01000056,1,06.05.2026,SALE
8054795205616,182233-80013,XS,-35.00000006,-1,06.05.2026,RETURN
4068801230152,JQ2869,32,30.4,1,06.05.2026,SALE
4068808495660,JN1817,M,77.4,1,06.05.2026,SALE
4068806648990,HQ2338,43.1/3,86,1,06.05.2026,SALE
4068806067494,IH1455,43.1/3,97,1,06.05.2026,SALE
196941017419,U327LZ,38,126,1,06.05.2026,SALE
4068815896115,KI6496,25,43,1,06.05.2026,SALE
4068807982895,IH1371,37.1/3,65,1,06.05.2026,SALE
4068801902240,JR0762,39.1/3,59,1,06.05.2026,SALE
8054795302438,183107-75162,32,38,1,06.05.2026,SALE
8054795302025,183109-60161,27,35,1,06.05.2026,SALE
8054795305507,183487-C0516,37,43,1,06.05.2026,SALE
4068816337778,KH8815,34,41,1,06.05.2026,SALE
8054795357209,182955-80013,XL,81,1,06.05.2026,SALE
4068814137424,JZ5007,2XL,22,1,06.05.2026,SALE
4068804899783,KC0904,2XL,27,1,06.05.2026,SALE
4067905751761,JC5338,2XL,38,1,06.05.2026,SALE
