barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
6.85068E+11,SX4508-101,M,12,1,07.05.2026,SALE
1.91889E+11,AR4997-013,L,24,1,07.05.2026,SALE
4.06405E+12,FZ4970,29,22.8,1,07.05.2026,SALE
4.06543E+12,GW4139,42,39.94999976,1,07.05.2026,SALE
8.05361E+12,179308-60062,L,27,1,07.05.2026,SALE
4.06675E+12,HR4931,M,23.1,1,07.05.2026,SALE
8.05361E+12,179607-C6003,46,44,1,07.05.2026,SALE
4.06789E+12,IT1418,S,19.6,1,07.05.2026,SALE
4.06789E+12,ID9157,24,43,1,07.05.2026,SALE
4.06789E+12,ID9155,35,49,1,07.05.2026,SALE
4.06791E+12,JE9000,XL,22,1,07.05.2026,SALE
4.06791E+12,JE8993,XL,22,1,07.05.2026,SALE
4.0679E+12,JE8999,XL,22,1,07.05.2026,SALE
4.06791E+12,JF3620,L,21,1,07.05.2026,SALE
4.06791E+12,JD2705,S,56,1,07.05.2026,SALE
8.05361E+12,180676-C2815,39,84,1,07.05.2026,SALE
8.0548E+12,181478-C0188,30,24.5,1,07.05.2026,SALE
8.0548E+12,182141-20008,43,52.5,1,07.05.2026,SALE
8.0548E+12,182141-70416,43,52.5,1,07.05.2026,SALE
8.0548E+12,182314-C0641,43,44,1,07.05.2026,SALE
4.06791E+12,JR0205,33,31.99999992,1,07.05.2026,SALE
8.0548E+12,182184-30023,43,52.5,1,07.05.2026,SALE
4.06881E+12,IH1429,41.1/3,84.99999964,1,07.05.2026,SALE
4.06881E+12,JQ1846,35,41,1,07.05.2026,SALE
4.06916E+12,691899-88,M,65,1,07.05.2026,SALE
1.97375E+11,WS327GD,37,140,1,07.05.2026,SALE
4.06881E+12,JR2385,42,76,1,07.05.2026,SALE
4.06677E+12,ID5283,25,38,1,07.05.2026,SALE
4.0679E+12,JD6481,98,43,1,07.05.2026,SALE
4.06791E+12,JE0150,M,68.4,1,07.05.2026,SALE
4.06916E+12,629587-31,L,72.9,1,07.05.2026,SALE
4.06916E+12,629589-31,M,63.9,1,07.05.2026,SALE
4.06791E+12,JE0171,M,72.9,1,07.05.2026,SALE
