barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
4068808068932,JM3123,M,-32,-1,04.02.2026,RETURN
4068808099745,JM3122,M,-32,-1,04.02.2026,RETURN
4067888082906,IH5467,39.1/3,-52,-1,17.03.2026,RETURN
4067886933934,IE3468,36,-28,-1,24.03.2026,RETURN
4068801276358,JQ5642,39.1/3,-68.8,-1,24.03.2026,RETURN
4068806893482,JQ1859,40,-43,-1,07.04.2026,RETURN
4067979345927,310093-02,44,-38.5,-1,07.01.2026,RETURN
4067984925565,402313-15,38,-56,-1,07.01.2026,RETURN
198481652235,IB2975-010,M,-174.2,-1,16.01.2026,RETURN
4066745483054,HA4347,S,-30,-1,16.01.2026,RETURN
89468942,13229P8G,42,-72,-1,16.01.2026,RETURN
4067888084207,IH2602,42.2/3,-85,-1,16.01.2026,RETURN
4068808210065,JL7430,179,-68,-1,16.01.2026,RETURN
4068803809011,JQ5361,44.2/3,-52.5,-1,16.01.2026,RETURN
4067907392481,JH5490,31,-72,-1,19.01.2026,RETURN
4067897295915,IH3663,42,-70,-1,27.01.2026,RETURN
4067886351073,IE1089,37.1/3,-56,-1,28.01.2026,RETURN
4067888084160,IH2602,43.1/3,-85,-1,28.01.2026,RETURN
195238917388,CD3129-326,M,-40.8,-1,28.01.2026,RETURN
4067903230794,JR0190,39.1/3,-35,-1,28.01.2026,RETURN
4066749990664,HP8600,40.2/3,-84,-1,28.01.2026,RETURN
195243532583,DC9165-011,L/XL,-17.6,-1,28.01.2026,RETURN
89927942,10242D71G,42,-68,-1,28.01.2026,RETURN
8601000006034,10674D127G,41,-45,-1,28.01.2026,RETURN
90665441,15511S20t,41,-57.5,-1,28.01.2026,RETURN
4068808065238,JM3123 ,L,-32,-1,28.01.2026,RETURN
8053607392452,179867-D0569,M,-12,-1,28.01.2026,RETURN
8053607392490,179867-D0569,XXL,-12,-1,28.01.2026,RETURN
8054795052920,182010-C8106,22,-15,-1,28.01.2026,RETURN
820652983380,749680-005,45,-84.7,-1,28.01.2026,RETURN
8053607457380,180665-45027,M,-11,-1,28.01.2026,RETURN
4066762410620,IF5700 ,38.2/3,-35,-1,04.02.2026,RETURN
8032521856370,178140-80013,XL,-19.9,-1,04.02.2026,RETURN
4060507197944,DV1544 - S,S,-19.5,-1,04.02.2026,RETURN
194957476480,CW6737-004,21,-35,-1,04.02.2026,RETURN
4065429654681,HG6276,S,-84,-1,12.02.2026,RETURN
4066749997854,HP8602,42.2/3,-50,-1,12.02.2026,RETURN
4066746357545,IF7636,41.1/3,-126,-1,12.02.2026,RETURN
4067983243295,684852-01,XL,-56,-1,12.02.2026,RETURN
4067896645889,IY1811,128,-48,-1,12.02.2026,RETURN
