barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
6.85E+11,SX4508-001,L,15,1,22.04.2026,SALE
4.07E+12,HE1964,170,12.6,1,22.04.2026,SALE
4.07E+12,HC5648,152,14,1,22.04.2026,SALE
4.07E+12,HC5648,152,16,1,22.04.2026,SALE
4.06E+12,GM7345,L,28,1,22.04.2026,SALE
4.06E+12,GM7345,L,-28.00000052,-1,22.04.2026,RETURN
4.07E+12,HN3485,98,40,1,22.04.2026,SALE
4.07E+12,HN4214,S,35,1,22.04.2026,SALE
4.07E+12,HQ3790,40.2/3,39.94999976,1,22.04.2026,SALE
8.05E+12,180371-80013,XL,12.5,1,22.04.2026,SALE
8.05E+12,179102-D1036,36,21.6000003,1,22.04.2026,SALE
4.07E+12,HT3441,43/45,9.99999968,1,22.04.2026,SALE
4.07E+12,ID9154,33,49,1,22.04.2026,SALE
8.30E+12,F9303-200,39/42,6.29999994,1,22.04.2026,SALE
4.07E+12,JE1394,104,30.4,1,22.04.2026,SALE
4.07E+12,JP7653,33,41,1,22.04.2026,SALE
4.07E+12,JP7653,35,41,1,22.04.2026,SALE
4.07E+12,684832-01,L,17.5,1,22.04.2026,SALE
8.05E+12,181478-D1289,31,16.79999984,1,22.04.2026,SALE
4.07E+12,JD4478,M,56,1,22.04.2026,SALE
4.07E+12,397736-07,36,77,1,22.04.2026,SALE
4.07E+12,393837-58,36,38.5,1,22.04.2026,SALE
4.07E+12,IH8585,41.1/3,76,1,22.04.2026,SALE
8.05E+12,179881-D0568,L,35,1,22.04.2026,SALE
8.05E+12,177720-C6180,36.5,28,1,22.04.2026,SALE
4.07E+12,JX3313,M,32,1,22.04.2026,SALE
8.05E+12,182245-80013,S,56,1,22.04.2026,SALE
4.07E+12,JQ1862,36.2/3,43,1,22.04.2026,SALE
4.07E+12,IH3968,24,43,1,22.04.2026,SALE
8.30E+12,F9303-321,39/42,6.29999994,1,22.04.2026,SALE
4.07E+12,ID9158,26,43,1,22.04.2026,SALE
