barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
194498323649,BQ4639-012,NIKE OFFCOURT SLIDE,41,42,21.84,2,5/14/2026,Male,SS26,Footwear,NIKE
194498323656,BQ4639-012,NIKE OFFCOURT SLIDE,42.5,42,21.84,2,5/14/2026,Male,SS26,Footwear,NIKE
194498323663,BQ4639-012,NIKE OFFCOURT SLIDE,44,42,21.84,2,5/14/2026,Male,SS26,Footwear,NIKE
194498323670,BQ4639-012,NIKE OFFCOURT SLIDE,45,42,21.84,2,5/14/2026,Male,SS26,Footwear,NIKE
194498323687,BQ4639-012,NIKE OFFCOURT SLIDE,46,42,21.84,1,5/14/2026,Male,SS26,Footwear,NIKE
198729348159,AR4997-502,M NSW CLUB TEE,M,30,15.6,4,5/14/2026,Male,SS26,APPAREL,NIKE
198729358035,AR4997-502,M NSW CLUB TEE,S,30,15.6,2,5/14/2026,Male,SS26,APPAREL,NIKE
198729381538,AR4997-502,M NSW CLUB TEE,L,30,15.6,4,5/14/2026,Male,SS26,APPAREL,NIKE
198729403384,AR4997-502,M NSW CLUB TEE,XL,30,15.6,2,5/14/2026,Male,SS26,APPAREL,NIKE
198729713674,HF3263-101,JORDAN FRANCHISE SLIDE,42.5,40,20.8,3,5/14/2026,Male,SS26,Footwear,JORDAN
198729752383,HF3263-101,JORDAN FRANCHISE SLIDE,44,40,20.8,3,5/14/2026,Male,SS26,Footwear,JORDAN
198729770356,HF3263-101,JORDAN FRANCHISE SLIDE,45,40,20.8,2,5/14/2026,Male,SS26,Footwear,JORDAN
198729836410,HF3263-101,JORDAN FRANCHISE SLIDE,41,40,20.8,1,5/14/2026,Male,SS26,Footwear,JORDAN
198729852793,HF3263-101,JORDAN FRANCHISE SLIDE,46,40,20.8,1,5/14/2026,Male,SS26,Footwear,JORDAN
198730658902,IR0342-010,M J JUMPMAN SS LBR TEE 2,L,37,19.24,3,5/14/2026,Male,SS26,APPAREL,JORDAN
198730666037,IR0342-010,M J JUMPMAN SS LBR TEE 2,M,37,19.24,2,5/14/2026,Male,SS26,APPAREL,JORDAN
198730667973,IR0342-010,M J JUMPMAN SS LBR TEE 2,XL,37,19.24,2,5/14/2026,Male,SS26,APPAREL,JORDAN
198958069542,IQ0471-393,M NSW CS SS GFX TEE,M,33,17.16,3,5/14/2026,Male,SS26,APPAREL,NIKE
198958073143,IQ0471-393,M NSW CS SS GFX TEE,L,33,17.16,3,5/14/2026,Male,SS26,APPAREL,NIKE
198958073440,IQ0471-393,M NSW CS SS GFX TEE,XL,33,17.16,1,5/14/2026,Male,SS26,APPAREL,NIKE
198958075260,IQ0471-101,M NSW CS SS GFX TEE,XL,33,17.16,2,5/14/2026,Male,SS26,APPAREL,NIKE
198958077226,IQ0471-101,M NSW CS SS GFX TEE,M,33,17.16,4,5/14/2026,Male,SS26,APPAREL,NIKE
198958078629,IQ0471-101,M NSW CS SS GFX TEE,L,33,17.16,4,5/14/2026,Male,SS26,APPAREL,NIKE
198958079671,IQ0471-101,M NSW CS SS GFX TEE,S,33,17.16,1,5/14/2026,Male,SS26,APPAREL,NIKE
198958080776,IQ0471-393,M NSW CS SS GFX TEE,S,33,17.16,1,5/14/2026,Male,SS26,APPAREL,NIKE
