barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
659658576902,SX2554-901,38/42,7.5,1,11.05.2026,SALE
887232701093,SX4926-101,M,12.00000056,1,11.05.2026,SALE
887232701109,SX4926-101,L,12.00000056,1,11.05.2026,SALE
888407302374,AV8054-100,MISC,16,1,11.05.2026,SALE
191888618378,AR4997-101,M,30,1,11.05.2026,SALE
4060978949431,369143-02,37.5,45.5,1,11.05.2026,SALE
4065424085909,HC5649,164,14,1,11.05.2026,SALE
195870666200,DO1808-051,XL,17.6,1,11.05.2026,SALE
4065426206579,GW6422,38.2/3,29.95000008,1,11.05.2026,SALE
4065426206654,GW6422,36.2/3,29.95000008,1,11.05.2026,SALE
195237031184,DH2987-001,42.5,64.95000014,1,11.05.2026,SALE
195871857089,BV2671-206,M,34.71999998,1,11.05.2026,SALE
4065426735130,GW4139,44.2/3,39.94999976,1,11.05.2026,SALE
4065427854946,GW6521,31,31.4999997,1,11.05.2026,SALE
4066766247963,IN1836,M,36.0000005,1,11.05.2026,SALE
4067886936133,IE3474,34,26.6,1,11.05.2026,SALE
4099683236468,393837-02,37.5,55,1,11.05.2026,SALE
196975888061,DV0740-002,41,46.99999944,1,11.05.2026,SALE
4066757927249,IP1571,S,24.5,1,11.05.2026,SALE
4067896775937,JH6676,34,28,1,11.05.2026,SALE
4067888411041,IE5987,31,26.6,1,11.05.2026,SALE
4067888101591,IH2380,35.1/3,29.95000008,1,11.05.2026,SALE
4067886641532,ID6313,36,54,1,11.05.2026,SALE
4067981357864,681670-01,L,60,1,11.05.2026,SALE
8053607724840,181184-60062,XL,19.19999948,1,11.05.2026,SALE
4067983830495,400232-01,42,45.5,1,11.05.2026,SALE
4067888026849,IE8888,25,38,1,11.05.2026,SALE
4067983859632,393837-46,37.5,38.5,1,11.05.2026,SALE
4067901458145,JC5375,M,81,1,11.05.2026,SALE
4067901412260,JE9005,L,20,1,11.05.2026,SALE
4067983287268,390776-55,44.5,84,1,11.05.2026,SALE
8054795102700,181970-80013,XL,20,1,11.05.2026,SALE
8053607694310,180676-C2815,45,-84.00000038,-1,11.05.2026,RETURN
4068803665136,JR1021,32,30.4,1,11.05.2026,SALE
4068801296851,JQ8065,38,63,1,11.05.2026,SALE
4069156587991,400368-07,38.5,42,1,11.05.2026,SALE
4067906367015,JQ3690,38,36,1,11.05.2026,SALE
4067906279158,JQ0133,37.1/3,54,1,11.05.2026,SALE
4068801515259,JR0803,31,35,1,11.05.2026,SALE
4067888198836,IF1729,32,-30.40000016,-1,11.05.2026,RETURN
197596350142,FQ0904-001,42.5,70.69999972,1,11.05.2026,SALE
4069156960183,091166-17,X,21.6,1,11.05.2026,SALE
4067901480832,JI8849,XL,76,1,11.05.2026,SALE
4067906385293,JR0205,31,32,1,11.05.2026,SALE
198481946099,HJ2537-010,M,67.2,1,11.05.2026,SALE
198482193263,HJ2537-010,XL,67.2,1,11.05.2026,SALE
4068803801718,JQ7904,38,38.5,1,11.05.2026,SALE
4068808747707,JN1821,M,81,1,11.05.2026,SALE
4068808835749,JN1822,M,70,1,11.05.2026,SALE
4068815532181,KK4501,37.1/3,70,1,11.05.2026,SALE
4068815532198,KK4501,38,63,1,11.05.2026,SALE
4068806874399,JQ1862,39.1/3,43,1,11.05.2026,SALE
4068806662453,IH3948,38.2/3,54,1,11.05.2026,SALE
4068808302456,JV9829,104,43,1,11.05.2026,SALE
4068808302425,JV9829,98,43,1,11.05.2026,SALE
8054795291091,182470-55229,32,38,1,11.05.2026,SALE
8054795288886,182705-C1070,36,55,1,11.05.2026,SALE
8054795301806,183108-75162,38,43,1,11.05.2026,SALE
8054795302025,183109-60161,27,35,1,11.05.2026,SALE
4068806183255,JP6724,30,49,1,11.05.2026,SALE
4068822203951,KB8196,XS,32,1,11.05.2026,SALE
197859238514,HJ1985-010,XL,121,1,11.05.2026,SALE
4068803376117,JR5563,41.1/3,76,1,11.05.2026,SALE
8054795023739,180676-D1246,46,108.0000003,1,11.05.2026,SALE
8054795317173,182891-C0247,M,70,1,11.05.2026,SALE
4068808094214,IH1391,38,53.1,1,11.05.2026,SALE
4068821638013,KE1316,XL,27,1,11.05.2026,SALE
4068818772195,KT4448,M,20.00000054,1,11.05.2026,SALE
198726615728,394053-007,38,87.3,1,11.05.2026,SALE
4068821740495,JZ5049,XL,27,1,11.05.2026,SALE
4068818795255,KT4446,2XL,22,1,11.05.2026,SALE
4068805153631,KC0885,L,22,1,11.05.2026,SALE
4065423700544,HD1731,L,36.40000044,1,12.05.2026,SALE
195871857126,BV2671-206,L,34.72999954,1,12.05.2026,SALE
195871857089,BV2671-206,M,-34.72000022,-1,12.05.2026,RETURN
4065423639257,HD1771,L,30.8000001,1,12.05.2026,SALE
195239730986,DD5644-010,S,88.9,1,12.05.2026,SALE
8030631889325,173744-C0200,45,37.5,1,12.05.2026,SALE
4065427855141,GW6521,29,31.5,1,12.05.2026,SALE
4066761360926,IM0315,M,42.56,1,12.05.2026,SALE
4066766247963,IN1836,M,-36.49999954,-1,12.05.2026,RETURN
196432922826,MR530AA,39.5,119.9999997,1,12.05.2026,SALE
196974652144,DM1120-012,40.5,45.36000004,1,12.05.2026,SALE
8053607589470,180364-C6180,37,50.39999952,1,12.05.2026,SALE
4066765300218,IF4026,44.2/3,39.9999999,1,12.05.2026,SALE
197594305175,HF1741-001,43,64.4,1,12.05.2026,SALE
8720245567862,701225850-003,19/22,7,1,12.05.2026,SALE
8720245567879,701225850-003,23/26,7,1,12.05.2026,SALE
8720245637701,701230337-300,39/42,11,1,12.05.2026,SALE
4067887729420,IL7230,XL,36.40000044,1,12.05.2026,SALE
4067903011942,JR0165,40,43,1,12.05.2026,SALE
8054795052371,182001-C0641,28,35,1,12.05.2026,SALE
4067888026849,IE8888,25,-26.6,-1,12.05.2026,RETURN
4067888026818,IE8888,26,26.60699966,1,12.05.2026,SALE
4067887442961,JE1381,98,28,1,12.05.2026,SALE
4067902563435,JD0466,L,-80,-1,12.05.2026,RETURN
4067901458176,JC5375,L,80.0100003,1,12.05.2026,SALE
8054795083177,181570-D1300,44,36.40000044,1,12.05.2026,SALE
4068801296905,JQ8065,36.2/3,70,1,12.05.2026,SALE
8053607441785,179929-20011,XL,25.99999964,1,12.05.2026,SALE
8054795168812,181486-C0787,40.5,28,1,12.05.2026,SALE
4067907679391,JR5384,44,35.00000006,1,12.05.2026,SALE
4067902887548,JE1306,M,54,1,12.05.2026,SALE
4067903109847,JP7537,41.1/3,76,1,12.05.2026,SALE
197863541075,FN4446-103,38,91,1,12.05.2026,SALE
4068801902301,JR0762,38.2/3,59,1,12.05.2026,SALE
8054795302827,183299-65067,23,30,1,12.05.2026,SALE
8054795305507,183487-C0516,37,43,1,12.05.2026,SALE
4068816354591,KI6497,24,43,1,12.05.2026,SALE
197863244549,FN3730-010,S,67,1,12.05.2026,SALE
4068822543194,JY7720,L,76,1,12.05.2026,SALE
4069161779688,402596-12,44.5,58.5,1,12.05.2026,SALE
8054795317234,182891-C0250,M,70,1,12.05.2026,SALE
1200179869463,100262370,44,65,1,12.05.2026,SALE
91581543,44707V19,43,80,1,12.05.2026,SALE
198729697073,CN9675-304,41,42,1,12.05.2026,SALE
195237045068,DM0113-002,38.5,69.94999998,1,13.05.2026,SALE
4067886939783,IE3474,28,26.6,1,13.05.2026,SALE
197593622143,FV5526-101,39,53.20000028,1,13.05.2026,SALE
8032521334571,176585-C8790,45,30.00000022,1,13.05.2026,SALE
4067888945904,IE8700,32,28,1,13.05.2026,SALE
4067981508433,079879-13,X,16.8,1,13.05.2026,SALE
4067896499505,IV9445,128,42,1,13.05.2026,SALE
194768771996,WS327KA,39,140,1,13.05.2026,SALE
4067903011928,JR0165,36,43,1,13.05.2026,SALE
8300958200289,FU5004-200,XL,15.7999994,2,13.05.2026,SALE
8054795054146,182006-C6501,23,42,2,13.05.2026,SALE
4067906139025,JE9000,M,22,1,13.05.2026,SALE
4067902373850,JN1405,L,17.5,1,13.05.2026,SALE
4067902555850,JD0468,L,64,1,13.05.2026,SALE
4067905797424,JE9024,XL,25.00000038,1,13.05.2026,SALE
4067892216182,JI4600,41.1/3,39.94999976,1,13.05.2026,SALE
8053607366071,179090-D0472,45,23.99999994,1,13.05.2026,SALE
8053607391509,179863-D0541,L,0,0,13.05.2026,SALE
4068801515235,JR0803,33,35,1,13.05.2026,SALE
8054795168850,181486-C0787,43,28,1,13.05.2026,SALE
8054795227991,182141-20008,42,52.5,1,13.05.2026,SALE
8054795205524,182233-70476,M,38.5,1,13.05.2026,SALE
4067901480832,JI8849,XL,74.99999996,1,13.05.2026,SALE
4069161982385,692183-81,L,44.99999974,1,13.05.2026,SALE
198487115598,394053-103,37.5,97,1,13.05.2026,SALE
198487844139,II6292-201,41,92.7,1,13.05.2026,SALE
4068801941461,JR0767,31,49,1,13.05.2026,SALE
4068801937822,JR0767,32,49,1,13.05.2026,SALE
4068819784159,KC6155,104,38.7,1,13.05.2026,SALE
4068819784197,KC6155,98,38.7,1,13.05.2026,SALE
8059003070130,FU5381-321/2,XXL,13.52,1,13.05.2026,SALE
8059003070178,FU5381-200/2,XL,13.52,1,13.05.2026,SALE
4068803380800,JQ6081,41.1/3,76,1,13.05.2026,SALE
8054795309864,182788-75047,42,55,1,13.05.2026,SALE
8054795310020,182981-C0351,33,35,1,13.05.2026,SALE
8054795302421,183107-75162,31,34.2,1,13.05.2026,SALE
8054795301813,183108-75162,36,43,1,13.05.2026,SALE
4068816354539,KI6497,23,43.01000054,1,13.05.2026,SALE
4068816354591,KI6497,24,-43,-1,13.05.2026,RETURN
4069161973413,692185-81,L,70.00000012,1,13.05.2026,SALE
4068812032066,JS4774,26,36,1,13.05.2026,SALE
4069161605192,406202-03,42,124.9999995,1,13.05.2026,SALE
4069161933691,629587-61,L,162,2,13.05.2026,SALE
4069161934858,629588-61,L,140,2,13.05.2026,SALE
