barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
8300958474833,F4403-300,Half Terry Socks Top Quality,39/42,8.9,3.13096555,60,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474840,F4403-300,Half Terry Socks Top Quality,43/46,8.9,3.14820027,60,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474581,F4403-300,Half Terry Socks Top Quality,35/38,8.9,3.141033004,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474550,F4403-200,Half Terry Socks Top Quality,35/38,8.9,3.115483026,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474567,F4403-200,Half Terry Socks Top Quality,39/42,8.9,3.115483026,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474574,F4403-200,Half Terry Socks Top Quality,43/46,8.9,3.126882247,60,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958140127,F8338-300,Quarter Junior Socks,23/26,7.9,2.351307944,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958140134,F8338-300,Quarter Junior Socks,27/30,7.9,2.370590946,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958140141,F8338-300,Quarter Junior Socks,31/34,7.9,2.370590946,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958910157,F9100-300,Half Terry Socks,35/38,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910201,F9100-300,Half Terry Socks,39/42,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910256,F9100-300,Half Terry Socks,43/46,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910164,F9100-200,Half Terry Socks,35/38,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910218,F9100-200,Half Terry Socks,39/42,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910263,F9100-200,Half Terry Socks,43/46,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958946101,F9100-321,Half Terry Socks,39/42,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958946118,F9100-321,Half Terry Socks,43/46,7.9,2.468873341,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930261,F9303-300,Quarter Plain Socks,35/38,7.9,2.468873341,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930278,F9303-300,Quarter Plain Socks,39/42,7.9,2.477906686,48,5/14/2026,UNISEX,SS26,Accessories,FILA
