barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
197602695137,HF3263-001,JORDAN FRANCHISE SLIDE,46,40,20.8,2,5/20/2026,Male,SS26,Footwear,JORDAN
198726876341,IF9306-200,NIKE CALM SLIDE 2.0 (GS),37.5,49,25.48,2,5/20/2026,FEMALE,SS26,Footwear,NIKE
198726881475,IF9306-200,NIKE CALM SLIDE 2.0 (GS),38.5,49,25.48,2,5/20/2026,FEMALE,SS26,Footwear,NIKE
198726881826,IF9306-200,NIKE CALM SLIDE 2.0 (GS),36,49,25.48,2,5/20/2026,FEMALE,SS26,Footwear,NIKE
198726887309,IF9306-200,NIKE CALM SLIDE 2.0 (GS),40,49,25.48,2,5/20/2026,FEMALE,SS26,Footwear,NIKE
198729791702,DQ9624-009,NIKE OFFCOURT ADJUST SLIDE,41,54,28.08,2,5/20/2026,MALE,SS26,Footwear,NIKE
198729794772,DQ9624-009,NIKE OFFCOURT ADJUST SLIDE,42.5,54,28.08,2,5/20/2026,MALE,SS26,Footwear,NIKE
198729816337,DQ9624-009,NIKE OFFCOURT ADJUST SLIDE,46,54,28.08,1,5/20/2026,MALE,SS26,Footwear,NIKE
198729864222,DQ9624-009,NIKE OFFCOURT ADJUST SLIDE,45,54,28.08,2,5/20/2026,MALE,SS26,Footwear,NIKE
198729876942,DQ9624-009,NIKE OFFCOURT ADJUST SLIDE,44,54,28.08,2,5/20/2026,MALE,SS26,Footwear,NIKE
4068818508619,KJ5139,VL COURT 3.0,36,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508640,KJ5139,VL COURT 3.0,36.2/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508626,KJ5139,VL COURT 3.0,37.1/3,76,38.5,2,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508633,KJ5139,VL COURT 3.0,38,76,38.5,2,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508589,KJ5139,VL COURT 3.0,38.2/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508688,KJ5139,VL COURT 3.0,39.1/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508619,KJ5139,VL COURT 3.0,36,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508640,KJ5139,VL COURT 3.0,36.2/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508626,KJ5139,VL COURT 3.0,37.1/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508633,KJ5139,VL COURT 3.0,38,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508589,KJ5139,VL COURT 3.0,38.2/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068818508688,KJ5139,VL COURT 3.0,39.1/3,76,38.5,1,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4068812732973,IH4231,VS PACE 2.0,40.2/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732881,IH4231,VS PACE 2.0,45.1/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732874,IH4231,VS PACE 2.0,40.2/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732980,IH4231,VS PACE 2.0,41.1/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732928,IH4231,VS PACE 2.0,42,59,30.25,2,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732911,IH4231,VS PACE 2.0,42.2/3,59,30.25,2,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732959,IH4231,VS PACE 2.0,43.1/3,59,30.25,2,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812733048,IH4231,VS PACE 2.0,44,59,30.25,2,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068806451484,JS2322,ADIPISTA,44.2/3,76,38.5,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068806455208,JS2322,ADIPISTA,41.1/3,76,38.5,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068816315714,KH8913,HOOPS CLASSIC J,38.2/3,43,22,3,5/22/2026,FEMALE,SS26,FOOTWEAR,ADIDAS
4067905833849,JE8997,M LIN SJ T,2XL,22,10.505,1,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4067905820498,JF1097,M SL SJ T,M,27,13.145,4,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4068801626535,JR0683,ADILETTE NOSHOWER,44.5,32,16.5,4,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068802963981,JR0683,ADILETTE NOSHOWER,46,32,16.5,2,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068801626504,JR0683,ADILETTE NOSHOWER,40.5,32,16.5,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068801626498,JR0683,ADILETTE NOSHOWER,42,32,16.5,4,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068801626542,JR0683,ADILETTE NOSHOWER,43,32,16.5,4,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068805119163,KT0554,M LIN SJ T,2XL,22,10.505,1,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4068805122972,KT0554,M LIN SJ T,L,22,10.505,4,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4068805119071,KT0554,M LIN SJ T,M,22,10.505,4,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4068805119200,KT0554,M LIN SJ T,XL,22,10.505,2,5/22/2026,MALE,SS26,APPAREL,ADIDAS
4068812732973,IH4231,VS PACE 2.0,44.2/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
4068812732980,IH4231,VS PACE 2.0,41.1/3,59,30.25,1,5/22/2026,MALE,SS26,FOOTWEAR,ADIDAS
