barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
195870666194,DO1808-051,L,17.6,1,14.05.2026,SALE
195237031542,DH2987-100,44,64.95000014,1,14.05.2026,SALE
4065453013157,673190-01,176,35,1,14.05.2026,SALE
195237045044,DM0113-002,37.5,69.94999998,1,14.05.2026,SALE
196151798900,DM1120-002,45,45.35999957,1,14.05.2026,SALE
4067886351073,IE1089,37.1/3,56,1,14.05.2026,SALE
197594305175,HF1741-001,43,64.4,1,14.05.2026,SALE
4066746302088,IC1281,M,12,1,14.05.2026,SALE
8300958101340,D1765-300,43-46,10,1,14.05.2026,SALE
4067981073924,624388-68,L,42,1,14.05.2026,SALE
197593367105,FN3884-010,XL,67.2,1,14.05.2026,SALE
8300958930308,F9303-200,39/42,6.35000008,1,14.05.2026,SALE
8300958206199,FU5016-200,XL,14.4000002,2,14.05.2026,SALE
4067902370071,JN1404,L,17.5,1,14.05.2026,SALE
4069156875470,403739-01,37.5,54,1,14.05.2026,SALE
8054795226765,182141-20008,45,52.5,1,14.05.2026,SALE
8054795196822,182284-80013,XXL,45.5,1,14.05.2026,SALE
4067902813974,JE1317,M,70,1,14.05.2026,SALE
4068812680038,JS2223,41.1/3,65,1,14.05.2026,SALE
4068819784197,KC6155,98,38.7,1,14.05.2026,SALE
4068806031921,JP6728,37.1/3,59,1,14.05.2026,SALE
8054795326885,182904-80013,S,65,1,14.05.2026,SALE
8054795302438,183107-75162,32,38,1,14.05.2026,SALE
8054795301936,183108-25059,37,43,1,14.05.2026,SALE
8054795302025,183109-60161,27,35,1,14.05.2026,SALE
8054795306764,183426-C0291,40,60,1,14.05.2026,SALE
8054795306771,183426-C0291,41,60,1,14.05.2026,SALE
4068822753647,KB6213,XL,86,1,14.05.2026,SALE
8054795353775,182949-20002,M,32,1,14.05.2026,SALE
4068804976453,KC0903,XL,27,1,14.05.2026,SALE
198729400956,IH1375-100,M,33,1,14.05.2026,SALE
91581643,44707V24,43,70.00000012,1,14.05.2026,SALE
4069161933707,629587-61,M,65.00000028,1,14.05.2026,SALE
4069161934865,629588-61,M,65.00000028,1,14.05.2026,SALE
198729713674,HF3263-101,42.5,40,1,14.05.2026,SALE
193657560871,CV8964-010,MISC,17.6,1,15.05.2026,SALE
195237079469,DB0488-010,MISC,17.6,1,15.05.2026,SALE
4066748787937,IC3842,116,24.5,1,15.05.2026,SALE
4066756079550,IE7261,43.1/3,41.59999966,1,15.05.2026,SALE
4066765099389,IF4033,44,42,1,15.05.2026,SALE
4067891134135,IT4309,S,59.5,1,15.05.2026,SALE
4067891083358,IT4311,S,56,1,15.05.2026,SALE
4067888408997,IE5989,32,26.6,1,15.05.2026,SALE
