barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
8054795081951,181570-80003,Diadora Cross,44,65,36.68640791,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795081968,181570-80003,Diadora Cross,43,65,36.68640791,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795081975,181570-80003,Diadora Cross,42.5,65,37.15503266,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795081982,181570-80003,Diadora Cross,42,65,37.24447585,3,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082439,181570-80003,Diadora Cross,41,65,36.84585589,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082538,181570-80003,Diadora Cross,46,65,36.84585589,1,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082552,181570-80003,Diadora Cross,45,65,36.57752632,1,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082569,181570-80003,Diadora Cross,44.5,65,36.58010926,1,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082040,181570-D1299,Diadora Cross,43,65,37.64309581,3,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082057,181570-D1299,Diadora Cross,42.5,65,37.64309581,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082064,181570-D1299,Diadora Cross,42,65,37.64309581,3,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082071,181570-D1299,Diadora Cross,41,65,37.64309581,2,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082194,181570-D1299,Diadora Cross,45,65,37.64309581,1,2/18/2026,Male,SS26,Footwear,DIADORA
8054795082200,181570-D1299,Diadora Cross,44.5,65,37.02573889,1,2/18/2026,Male,SS26,Footwear,DIADORA
8054795294627,182001-50225,Diadora Evo Run PS,28,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294634,182001-50225,Diadora Evo Run PS,29,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294641,182001-50225,Diadora Evo Run PS,30,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294658,182001-50225,Diadora Evo Run PS,31,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294665,182001-50225,Diadora Evo Run PS,32,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294672,182001-50225,Diadora Evo Run PS,33,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294689,182001-50225,Diadora Evo Run PS,34,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294696,182001-50225,Diadora Evo Run PS,35,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236740,182001-60083,Diadora Evo Run PS,28,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236757,182001-60083,Diadora Evo Run PS,29,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236764,182001-60083,Diadora Evo Run PS,30,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236771,182001-60083,Diadora Evo Run PS,31,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236788,182001-60083,Diadora Evo Run PS,32,35,18.79572959,5,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236795,182001-60083,Diadora Evo Run PS,33,35,18.79572959,5,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236801,182001-60083,Diadora Evo Run PS,34,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795236818,182001-60083,Diadora Evo Run PS,35,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294702,182001-65067,Diadora Evo Run PS,28,35,18.79572959,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294719,182001-65067,Diadora Evo Run PS,29,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294726,182001-65067,Diadora Evo Run PS,30,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294733,182001-65067,Diadora Evo Run PS,31,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294740,182001-65067,Diadora Evo Run PS,32,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294757,182001-65067,Diadora Evo Run PS,33,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294764,182001-65067,Diadora Evo Run PS,34,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294771,182001-65067,Diadora Evo Run PS,35,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294788,182001-70303,Diadora Evo Run PS,28,35,19.90136074,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294795,182001-70303,Diadora Evo Run PS,29,35,19.90136074,1,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294801,182001-70303,Diadora Evo Run PS,30,35,19.90136074,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294818,182001-70303,Diadora Evo Run PS,31,35,19.90136074,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294825,182001-70303,Diadora Evo Run PS,32,35,19.90136074,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294832,182001-70303,Diadora Evo Run PS,33,35,19.90136074,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294849,182001-70303,Diadora Evo Run PS,34,35,19.90136074,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795294856,182001-70303,Diadora Evo Run PS,35,35,19.90136074,2,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052371,182001-C0641,Diadora Evo Run PS,28,35,18.79572959,3,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052388,182001-C0641,Diadora Evo Run PS,29,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052395,182001-C0641,Diadora Evo Run PS,30,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052401,182001-C0641,Diadora Evo Run PS,31,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052418,182001-C0641,Diadora Evo Run PS,32,35,18.79572959,5,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052425,182001-C0641,Diadora Evo Run PS,33,35,18.79572959,5,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052432,182001-C0641,Diadora Evo Run PS,34,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795052449,182001-C0641,Diadora Evo Run PS,35,35,18.79572959,4,2/18/2026,KIDS,SS26,Footwear,DIADORA
8054795297376,182314-C5193,Diadora Pichichi 8 TFR,44.5,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795297383,182314-C5193,Diadora Pichichi 8 TFR,45,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298144,182314-C5193,Diadora Pichichi 8 TFR,40,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298151,182314-C5193,Diadora Pichichi 8 TFR,40.5,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298168,182314-C5193,Diadora Pichichi 8 TFR,41,55,24.26921129,3,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298175,182314-C5193,Diadora Pichichi 8 TFR,42,55,24.26921129,3,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298182,182314-C5193,Diadora Pichichi 8 TFR,42.5,55,24.26921129,4,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298199,182314-C5193,Diadora Pichichi 8 TFR,43,55,24.26921129,4,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298205,182314-C5193,Diadora Pichichi 8 TFR,44,55,24.26921129,2,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298212,182314-C6016,Diadora Pichichi 8 TFR,44.5,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298229,182314-C6016,Diadora Pichichi 8 TFR,45,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
8054795298281,182314-C6016,Diadora Pichichi 8 TFR,40,55,24.26921129,1,2/18/2026,MALE,SS26,Footwear,DIADORA
