barcode,sku,size,product_name,price_tag,cost_price,quantity,import_date,gender,season,category,brand
8300958474550,F4403-200,35/38,Half Terry Socks Top Quality,8.9,3.115483026,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474567,F4403-200,39/42,Half Terry Socks Top Quality,8.9,3.115483026,36,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474574,F4403-200,43/46,Half Terry Socks Top Quality,8.9,3.126882247,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474581,F4403-300,35/38,Half Terry Socks Top Quality,8.9,3.141033004,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474833,F4403-300,39/42,Half Terry Socks Top Quality,8.9,3.13096555,36,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958474840,F4403-300,43/46,Half Terry Socks Top Quality,8.9,3.14820027,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958140127,F8338-300,23/26,Quarter Junior Socks,7.9,2.351307944,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958140134,F8338-300,27/30,Quarter Junior Socks,7.9,2.370590946,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958140141,F8338-300,31/34,Quarter Junior Socks,7.9,2.370590946,24,5/14/2026,Kids,SS26,Accessories,FILA
8300958910379,F9300-200,35/38,Quarter Plain Socks,7.9,2.243897258,60,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910423,F9300-200,39/42,Quarter Plain Socks,7.9,2.226143873,31,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910478,F9300-200,43/46,Quarter Plain Socks,7.9,2.221564072,29,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910362,F9300-300,35/38,Quarter Plain Socks,7.9,2.231086492,34,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910416,F9300-300,39/42,Quarter Plain Socks,7.9,2.188927166,69,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958910461,F9300-300,43/46,Quarter Plain Socks,7.9,2.181392672,68,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003074930,F9300-722,35/38,Quarter Plain Socks,7.9,2.468873341,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003074947,F9300-722,39/42,Quarter Plain Socks,7.9,2.468873341,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930292,F9303-200,35/38,Quarter Plain Socks,7.9,2.468873341,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930308,F9303-200,39/42,Quarter Plain Socks,7.9,2.473570681,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930315,F9303-200,43/46,Quarter Plain Socks,7.9,2.473570681,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930261,F9303-300,35/38,Quarter Plain Socks,7.9,2.468873341,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930278,F9303-300,39/42,Quarter Plain Socks,7.9,2.477906686,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930285,F9303-300,43/46,Quarter Plain Socks,7.9,2.483819421,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930360,F9303-321,39/42,Quarter Plain Socks,7.9,2.468873341,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958930377,F9303-321,43/46,Quarter Plain Socks,7.9,2.468873341,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958927193,F9505-200,35/38,CREW TENNIS FULL TERRY,7.9,2.468873341,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958927209,F9505-200,39/42,CREW TENNIS FULL TERRY,7.9,1.923929729,57,5/14/2026,UNISEX,SS26,Accessories,FILA
