barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
8053607148004,173323-C6111,38,20,1,25.05.2026,SALE
4065449281300,387374-01,37.5,49,1,25.05.2026,SALE
4065449288873,387374-02,38,49,1,25.05.2026,SALE
4066755755431,IG9814,36,29.95000008,1,25.05.2026,SALE
4066755755448,IG9814,39.1/3,29.95000008,1,25.05.2026,SALE
739980463863,MR530EMA,38,104,1,25.05.2026,SALE
4067886937611,IE3473,35,26.60000014,1,25.05.2026,SALE
4067887799430,IS2544,92,-31.4999997,-1,25.05.2026,RETURN
4099683236444,393837-02,36,44,1,25.05.2026,SALE
4099683236451,393837-02,37,44,1,25.05.2026,SALE
195237031856,DH3158-100,38.5,69.94999998,1,25.05.2026,SALE
4067887048323,IS1318,M,20,1,25.05.2026,SALE
4099686976477,679187-83,XL,14,1,25.05.2026,SALE
4066746427866,HT3451,M,9.6,1,25.05.2026,SALE
4067896779607,JH6676,35,28.00000052,1,25.05.2026,SALE
4066746290583,IC1283,M,16,2,25.05.2026,SALE
4067886699083,ID6285,42,60.8,1,25.05.2026,SALE
4067886699069,ID6285,42.2/3,60.8,1,25.05.2026,SALE
4066746450956,IC1304,M,9.6,1,25.05.2026,SALE
4067892605412,ID9156,26,34.4,1,25.05.2026,SALE
4067892605597,ID9157,25,34.4,1,25.05.2026,SALE
4067889309576,ID6507,33,22.40000018,1,25.05.2026,SALE
4067892609427,ID9155,32,39.2,1,25.05.2026,SALE
8053607696697,180236-C0787,36,27.5,1,25.05.2026,SALE
8720245567886,701225850-003,27/30,5.6,1,25.05.2026,SALE
8720245569507,701225904-002,35/38,11.2,1,25.05.2026,SALE
8720245569521,701225904-002,43/46,11.1999995,1,25.05.2026,SALE
4067889667669,ID8761,42,39.94999976,1,25.05.2026,SALE
8053607529353,179551-D0866,42.5,61.6000002,1,25.05.2026,SALE
4067903011966,JR0165,39.1/3,34.4,1,25.05.2026,SALE
8300958474567,F4403-200,39/42,21.36,3,25.05.2026,SALE
8300958474581,F4403-300,35/38,7.12,1,25.05.2026,SALE
8300958140127,F8338-300,23/26,6.35000008,1,25.05.2026,SALE
8300958910362,F9300-300,35/38,12.64,2,25.05.2026,SALE
8300958927209,F9505-200,39/42,6.29999994,1,25.05.2026,SALE
8300958927186,F9505-300,35/38,6.29999994,1,25.05.2026,SALE
8054795052432,182001-C0641,34,28,1,25.05.2026,SALE
8054795053415,182005-C6501,28,24.5,1,25.05.2026,SALE
196969412135,FQ6873-101,37.5,77.6,1,25.05.2026,SALE
195907808542,ML574EVE,42.5,95.2,1,25.05.2026,SALE
4067983301780,682535-99,M,17.6,1,25.05.2026,SALE
4067983859632,393837-46,37.5,38.5,1,25.05.2026,SALE
4067903937792,JS3545,27,28.8,1,25.05.2026,SALE
8054795040750,181478-D1289,30,16.79999984,1,25.05.2026,SALE
8054795040606,181478-D1290,29,16.79999984,1,25.05.2026,SALE
8054795042389,181478-D1290,35,16.79999984,1,25.05.2026,SALE
8054795049180,181543-C0893,37,27,1,25.05.2026,SALE
4067905797400,JE9024,L,21.6000003,1,25.05.2026,SALE
4067903930113,JS0636,31,26.6,1,25.05.2026,SALE
4067903930090,JS0636,28,26.6,1,25.05.2026,SALE
4067906171391,JD1779,L,17.28000024,1,25.05.2026,SALE
4067902833972,JE9001,S,17.6,1,25.05.2026,SALE
4067902156149,JQ2501,41.1/3,42,1,25.05.2026,SALE
4067903814413,JQ2572,43,34.4,1,25.05.2026,SALE
4069156625341,393837-58,37.5,38.5,1,25.05.2026,SALE
4068801296905,JQ8065,36.2/3,56,1,25.05.2026,SALE
4068801296844,JQ8065,37.1/3,56,1,25.05.2026,SALE
4068801411155,JP9929,36,36,1,25.05.2026,SALE
8054795171614,177717-C6180,38,33.6,1,25.05.2026,SALE
8054795175414,177722-C6180,24,24.5,1,25.05.2026,SALE
4068806624031,IH3957,34,39.2,1,25.05.2026,SALE
4068801139400,JR0955,37.1/3,64.8,1,25.05.2026,SALE
4068815911566,KJ6810,37.1/3,68.8,1,25.05.2026,SALE
4068806893390,JQ1859,36,34.4,1,25.05.2026,SALE
198689519187,U740N9J9,37.5,112,1,25.05.2026,SALE
4068806481948,HQ7370,41.1/3,155.2,2,25.05.2026,SALE
4068801941478,JR0767,30,39.2,1,25.05.2026,SALE
4068815896078,KI6496,27,34.4,1,25.05.2026,SALE
4067904631132,JP7100,41.1/3,56,1,25.05.2026,SALE
4068807707412,JR2382,41.1/3,60.8,1,25.05.2026,SALE
4068819782414,KC6155,92,34.39999956,1,25.05.2026,SALE
4068815907613,KI6491,26,34.4,1,25.05.2026,SALE
4068816351521,KI6495,30,39.2,1,25.05.2026,SALE
4068816351538,KI6495,31,39.2,1,25.05.2026,SALE
4068816351545,KI6495,35,39.2,1,25.05.2026,SALE
4068816702446,KI8861,35,32.8,1,25.05.2026,SALE
