barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
8300958910423,F9300-200,39/42,23.7,3,31.01.2026,SALE
8300958910478,F9300-200,43/46,3.50000036,1,31.01.2026,SALE
8300958910478,F9300-200,43/46,6.00000028,1,31.01.2026,SALE
8300958882645,F9803-300,35/38,8.9,1,31.01.2026,SALE
8300958882652,F9803-300,39/42,17.8,2,31.01.2026,SALE
8300958882669,F9803-300,43/46,17.8,2,31.01.2026,SALE
8300958882669,F9803-300,43/46,14.24,2,31.01.2026,SALE
8300958474567,F4403-200,39/42,7.09999982,1,31.01.2026,SALE
8300958474567,F4403-200,39/42,17.8,2,31.01.2026,SALE
8300958474574,F4403-200,43/46,8.9,1,31.01.2026,SALE
8300958474574,F4403-200,43/46,7.12,1,31.01.2026,SALE
8300958474581,F4403-300,35/38,17.8,2,31.01.2026,SALE
8300958474833,F4403-300,39/42,7.12,1,31.01.2026,SALE
8300958855991,F9598-300,43/46,7.9,2,31.01.2026,SALE
8300958856189,F9598-321,39/42,3.95,1,31.01.2026,SALE
8300958882683,F9803-200,39/42,7.12,1,31.01.2026,SALE
8300958140097,F8338-321,23/26,3.50000036,1,31.01.2026,SALE
8300958140127,F8338-300,23/26,6.32,1,31.01.2026,SALE
8300958140134,F8338-300,27/30,7.9,1,31.01.2026,SALE
8300958140141,F8338-300,31/34,12.64,2,31.01.2026,SALE
8300958140073,F8338-200,27/30,6.32,1,31.01.2026,SALE
8300958910362,F9300-300,35/38,6.32,1,31.01.2026,SALE
8300958910416,F9300-300,39/42,12.64,2,31.01.2026,SALE
8300958910416,F9300-300,39/42,8.01000048,1,31.01.2026,SALE
8300958910461,F9300-300,43/46,7.9,1,31.01.2026,SALE
8300958910461,F9300-300,43/46,6.32,1,31.01.2026,SALE
8300958910102,F9000-300,43/46,7.9,1,31.01.2026,SALE
8300958852853,F9000-700,39/42,3.50000036,1,31.01.2026,SALE
8300958910072,F9000-200,39/42,6.32,1,31.01.2026,SALE
8300958910126,F9000-200,43/46,7.9,1,31.01.2026,SALE
8300958930308,F9303-200,39/42,31.6,4,31.01.2026,SALE
8300958930315,F9303-200,43/46,6.00000028,1,31.01.2026,SALE
8300958930315,F9303-200,43/46,15.8,2,31.01.2026,SALE
8300958930315,F9303-200,43/46,25.28,4,31.01.2026,SALE
8300958930278,F9303-300,39/42,7.9,1,31.01.2026,SALE
8059003021446,F9575-300,39/42,7.12,1,31.01.2026,SALE
8300958200296,FU5004-200,XXL,8.00000116,2,31.01.2026,SALE
8300958206229,FU5016-321,M,7.92,1,31.01.2026,SALE
8300958206236,FU5016-321,L,9.9,1,31.01.2026,SALE
8300958191228,FU6049-321,S,4.00000058,1,31.01.2026,SALE
8300958191129,FU6049-300,S,4.00000058,1,31.01.2026,SALE
8300958209435,FU5038-300,XL,7.11999964,1,31.01.2026,SALE
8300958017160,F9505-300/9,43/46,90.0000042,10,31.01.2026,SALE
8300958017153,F9505-300/9,39/42,18.00000084,2,31.01.2026,SALE
8300958017153,F9505-300/9,39/42,19.9,1,31.01.2026,SALE
8300958017146,F9505-300/9,35/38,18.00000084,2,31.01.2026,SALE
8300958017139,F9505-200/9,43/46,81.00000378,9,31.01.2026,SALE
8300958017139,F9505-200/9,43/46,15.92,1,31.01.2026,SALE
8300958017122,F9505-200/9,39/42,36.00000168,4,31.01.2026,SALE
8300958478046,F9505-700/9,43/46,63.00000294,7,31.01.2026,SALE
8300958478039,F9505-700/9,39/42,54.00000252,6,31.01.2026,SALE
8059003104156,FU5016-992/5,XXL,31.92,1,31.01.2026,SALE
8300958199712,FU5016-200/5,L,31.92,1,31.01.2026,SALE
8300958199729,FU5016-200/5,XL,31.92,1,31.01.2026,SALE
8300958415973,FU5004-200/5,XL,15.99999996,1,31.01.2026,SALE
8300958415973,FU5004-200/5,XL,20.00000054,1,31.01.2026,SALE
8300958930292,F9303-200,35/38,6.00000028,1,31.01.2026,SALE
8300958930292,F9303-200,35/38,7.9,1,31.01.2026,SALE
8300958930360,F9303-321,39/42,7.9,1,31.01.2026,SALE
8300958930377,F9303-321,43/46,3.50000036,1,31.01.2026,SALE
8300958930377,F9303-321,43/46,6.5000005,1,31.01.2026,SALE
8300958930377,F9303-321,43/46,6.32,1,31.01.2026,SALE
8059003075111,F9910-300,31/34,7.9,1,31.01.2026,SALE
8059003075128,F9910-300,35/38,7.9,1,31.01.2026,SALE
8059003075197,F9910-807,27/30,12.64,2,31.01.2026,SALE
8059003075203,F9910-807,31/34,7.9,1,31.01.2026,SALE
8300958910379,F9300-200,35/38,15.8,2,31.01.2026,SALE
8300958882676,F9803-200,35/38,8.9,1,31.01.2026,SALE
8300958852891,F9505-700,43/46,7.9,1,31.01.2026,SALE
8300958852891,F9505-700,43/46,6.32,1,31.01.2026,SALE
8300958927261,F9505-321,39/42,6.32,1,31.01.2026,SALE
8059003074879,F9575-722,39/42,14.19999964,2,31.01.2026,SALE
8300958138056,F9300-200/9,43/46,15.92,1,31.01.2026,SALE
8300958138018,F9300-300/9,39/42,15.92,1,31.01.2026,SALE
8059003070116,FU5381-321/2,L,13.52,1,31.01.2026,SALE
8300958204041,FU5004-321/2,XXL,13.52,1,31.01.2026,SALE
8300958203990,FU5004-200/2,XXL,13.52,1,31.01.2026,SALE
8300958206205,FU5016-200,XXL,7.92,1,31.01.2026,SALE
8300958209480,FU5038-321,XL,7.11999964,1,31.01.2026,SALE
8300958207943,FU5016-300/2,M,13.52,1,31.01.2026,SALE
8300958209831,FU5016-118,XL,7.91999952,1,31.01.2026,SALE
