barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
197593622143,FV5526-101,39,-53.2,-1,25.05.2026,RETURN
198484340603,HQ6411-001,39,-54.6,-1,25.05.2026,RETURN
8053607529353,179551-D0866,42.5,-52.20338983,-1,02.06.2026,RETURN
4066756064884,ID2286,42,-33.8559322,-1,02.06.2026,RETURN
8053607503612,177721-D0771,35,-12.88135593,-1,02.06.2026,RETURN
4067981065639,683091-30,M,-35.59322034,-1,02.06.2026,RETURN
4068821838673,JZ5050,L,-18.30508475,-1,02.06.2026,RETURN
4067889309606,ID6507,28,-32,-1,03.06.2026,RETURN
8054795302094,183299-50225,26,-24,-1,03.06.2026,RETURN
4067983646881,684855-04,XL,-59.5,-1,05.06.2026,RETURN
195237031566,DH2987-100,45,-64.95,-1,05.06.2026,RETURN
4067983983801,401489-01,38,-48,-1,05.06.2026,RETURN
198484294838,HQ6413-100,25,-48,-1,05.06.2026,RETURN
4068816351545,KI6495,35,-39.2,-1,05.06.2026,RETURN
4067889742847,IZ1623,XL,-24.5,-1,05.06.2026,RETURN
8054795357339,182955-60161,M,-90,-1,08.06.2026,RETURN
