barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
659658576902,SX2554-901,38/42,5.999999808,1,09.06.2026,SALE
659658576919,SX2554-901,42/46,5.999999808,1,09.06.2026,SALE
666032015858,SX0891-101,27/30,3.999999872,1,09.06.2026,SALE
4060512072632,F36211,45.5,30.80000034,1,09.06.2026,SALE
887232701123,SX4926-901,S,8.39999992,1,09.06.2026,SALE
4060515124093,DV2894,140,14.4000002,1,09.06.2026,SALE
193146844734,BV4110-063,XS,27.1999997,1,09.06.2026,SALE
4064047547276,H00765,36.2/3,28.8000004,1,09.06.2026,SALE
8030631459580,172901-C0200,XS,5.28,1,09.06.2026,SALE
195242834954,DC3728-001,44.5,41.9999996,1,09.06.2026,SALE
4064533017214,534228-01,M,15.9199995,1,09.06.2026,SALE
4064533017221,534228-01,L,15.9199995,1,09.06.2026,SALE
4064533017283,534228-02,S,15.9199995,1,09.06.2026,SALE
4065418339599,GW0387,28,-28.00000052,-1,09.06.2026,RETURN
4065418339636,GW0387,31,28.00999984,1,09.06.2026,SALE
4065423685445,HD1719,M,15.9199995,1,09.06.2026,SALE
4062058593176,FJ5092,36,25.19999976,1,09.06.2026,SALE
4062058593183,FJ5092,38,25.19999976,1,09.06.2026,SALE
4065417120907,HE2078,170,16.00000043,1,09.06.2026,SALE
4064535420777,534228-16,M,15.9199995,1,09.06.2026,SALE
4065421004583,GV7803,33,24,1,09.06.2026,SALE
196149255064,DQ5174-063,M,35.84000029,1,09.06.2026,SALE
4066748607143,GZ9671,40,23.9600003,1,09.06.2026,SALE
8053607148011,173323-C6111,37,15.99999996,1,09.06.2026,SALE
8053607164271,179075-C3513,41,30.80000034,1,09.06.2026,SALE
4066745326139,IC9756,S,28,1,09.06.2026,SALE
4066752055596,IC9792,L,25.59999994,1,09.06.2026,SALE
4066752059457,IC9792,M,25.59999994,1,09.06.2026,SALE
4066748726370,HS1139,140,20.0000003,1,09.06.2026,SALE
8053607157495,178788-D0214,46,30.00000022,1,09.06.2026,SALE
4066752143675,IC9276,XL,15.99200003,1,09.06.2026,SALE
4066752230894,IC9820,M,-11.9200001,-1,09.06.2026,RETURN
4066752232577,IC9820,S,11.92999942,1,09.06.2026,SALE
4066752190624,IC9274,L,16.00000043,1,09.06.2026,SALE
8054112105179,214447 - KK001,S,9.99999968,1,09.06.2026,SALE
4067892635440,ID8593,42.2/3,41.9999996,1,09.06.2026,SALE
4066764084560,IG6393,45.1/3,43.20000013,1,09.06.2026,SALE
4067886936164,IE3474,33,26.60000014,1,09.06.2026,SALE
8053607507870,173169-C0341,47,47.25999946,1,09.06.2026,SALE
8053607595297,180380-20007,XS,15.92000021,1,09.06.2026,SALE
4066764121395,IG1178,45.1/3,33.59999968,1,09.06.2026,SALE
4065429394358,HM4970,7,32,2,09.06.2026,SALE
4067887520003,IS2513,104,24,1,09.06.2026,SALE
4066746427866,HT3451,M,12,1,09.06.2026,SALE
4067886333550,IR8229,25-27,15,1,09.06.2026,SALE
4066757324963,IP3802,M,19.19999995,1,09.06.2026,SALE
8053607354870,177721-D0594,34,14.00000026,1,09.06.2026,SALE
8053607433971,179722-C4014,45,41.9999996,1,09.06.2026,SALE
8053607442621,179926-20011,XL,11.92000034,1,09.06.2026,SALE
1200143251911,100075074,36.5,18.2400001,1,09.06.2026,SALE
8300958100985,D1205-200,39-42,8,1,09.06.2026,SALE
8300958120877,D1835-200,39-42,4.99999984,1,09.06.2026,SALE
8300958100435,D9155-700,39-42,7.2,1,09.06.2026,SALE
8053607582150,180435-C5901,33,14.90000042,1,09.06.2026,SALE
4067983354793,629644-93,M,20,1,09.06.2026,SALE
4067983734328,389390-42,39,33.59999968,1,09.06.2026,SALE
8300958930315,F9303-200,43/46,6.32,1,09.06.2026,SALE
8054795053453,182005-C2524,34,24.5,1,09.06.2026,SALE
8054795053453,182005-C2524,34,-24.50000016,-1,09.06.2026,RETURN
4067904296133,JS2853,43,-27.00000008,-1,09.06.2026,RETURN
4067903934050,JS0638,21,23.09999978,1,09.06.2026,SALE
4067903937679,JS0638,22,23.09999978,1,09.06.2026,SALE
4067894332835,IV5217,XL,32,1,09.06.2026,SALE
4067902362519,JN1403,S,17.5,1,09.06.2026,SALE
4067903810682,JQ2571,44.5,32,1,09.06.2026,SALE
8054795040798,181478-D1289,33,16.79999984,1,09.06.2026,SALE
8054795050209,181614-C3918,30,24.5,1,09.06.2026,SALE
8054795060772,181738-C0018,S,10.0799999,1,09.06.2026,SALE
8054795053842,182009-D1181,34,14.00000026,1,09.06.2026,SALE
4067894362535,IY4150,M,32,1,09.06.2026,SALE
8053607377664,179237-75067,47,15.9199995,1,09.06.2026,SALE
4067903814390,JQ2572,44.5,43,1,09.06.2026,SALE
4069156875449,403739-01,38,54,1,09.06.2026,SALE
