barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
659658576902,SX2554-901,SX2554-901,7.5,1,11.06.2026,SALE
676556451728,819352-100,819352-100,31,1,11.06.2026,SALE
685068095436,SX4508-101,SX4508-101,15,1,11.06.2026,SALE
685068095436,SX4508-101,SX4508-101,12,1,11.06.2026,SALE
886955887923,06930C-435,06930C-435,3.919999648,1,11.06.2026,SALE
888407518300,BQ5301-731,BQ5301-731,16.79999984,1,11.06.2026,SALE
886059071297,BQ6831-001,BQ6831-001,26,1,11.06.2026,SALE
191888623655,AR5006-011,AR5006-011,21.11999966,1,11.06.2026,SALE
4061612251224,GE6137,GE6137,7.679999792,1,11.06.2026,SALE
195242841655,DC8992-003,DC8992-003,35.99999979,1,11.06.2026,SALE
194953017656,CZ9956-063,CZ9956-063,35.84000029,1,11.06.2026,SALE
4064533017207,534228-01,534228-01,15.9199995,1,11.06.2026,SALE
4060522412862,GH5304,GH5304,7.99999998,1,11.06.2026,SALE
4064535391275,848826-01,848826-01,12.80000044,1,11.06.2026,SALE
4065423636492,HF0448,HF0448,13.43999987,1,11.06.2026,SALE
195238932053,CZ9956-326,CZ9956-326,35.84000029,1,11.06.2026,SALE
4064535420760,534228-16,534228-16,15.9199995,1,11.06.2026,SALE
4065415730047,HK4572,HK4572,33.59999968,1,11.06.2026,SALE
4066748672561,H06315,H06315,23.96000006,1,11.06.2026,SALE
4066752490274,IC0398,IC0398,31.99999992,1,11.06.2026,SALE
8300757234508,179486-60062,179486-60062,7.91999952,1,11.06.2026,SALE
8053607187263,179486-D0211,179486-D0211,7.920000464,1,11.06.2026,SALE
4066748672424,HP6156,HP6156,21.28000011,1,11.06.2026,SALE
4066752224879,IC9295,IC9295,13.99999955,1,11.06.2026,SALE
4066752232607,IC9820,IC9820,23.8400002,2,11.06.2026,SALE
4065419345049,GZ3772,GZ3772,28,1,11.06.2026,SALE
4066746365045,IF7631,IF7631,89.59999978,1,11.06.2026,SALE
4099683236451,393837-02,393837-02,55,1,11.06.2026,SALE
8053607188673,179761-60062,179761-60062,16.00000043,1,11.06.2026,SALE
8053607595273,180380-20007,180380-20007,15.92000021,1,11.06.2026,SALE
4067886033177,IW0092,IW0092,11.92000034,1,11.06.2026,SALE
196975526482,DH2987-112,DH2987-112,64.95000014,1,11.06.2026,SALE
4067886041066,IS0897,IS0897,15.60000002,1,11.06.2026,SALE
4066746427866,HT3451,HT3451,9.6,1,11.06.2026,SALE
4067889859880,IW4061,IW4061,15.67999954,1,11.06.2026,SALE
1200143125847,100074591,100074591,18.2400001,1,11.06.2026,SALE
8300757220686,178796-C3444,178796-C3444,28.8000004,1,11.06.2026,SALE
197596892512,BV2671-371,BV2671-371,34.72000022,1,11.06.2026,SALE
4066746467305,IC1302,IC1302,10,1,11.06.2026,SALE
4099683373071,388729-08,388729-08,28.00000052,1,11.06.2026,SALE
197595755757,FJ3794-102,FJ3794-102,56.55999954,1,11.06.2026,SALE
4067903011942,JR0165,JR0165,43,1,11.06.2026,SALE
8300958882652,F9803-300,F9803-300,8.9,1,11.06.2026,SALE
8300958910461,F9300-300,F9300-300,6.32,1,11.06.2026,SALE
4067903937792,JS3545,JS3545,36,1,11.06.2026,SALE
4067905816736,JF1092,JF1092,27,1,11.06.2026,SALE
8053607393794,179851-55037,179851-55037,8.79999986,1,11.06.2026,SALE
8053607393831,179851-55037,179851-55037,8.79999986,1,11.06.2026,SALE
4067902152486,JQ2501,JQ2501,41.9999996,1,11.06.2026,SALE
4069156625327,393837-58,393837-58,38.5,1,11.06.2026,SALE
4069156625334,393837-58,393837-58,38.5,1,11.06.2026,SALE
8053607400737,179128-80013,179128-80013,14.32,1,11.06.2026,SALE
8053607185955,179153-65035,179153-65035,15.92,1,11.06.2026,SALE
8053607162666,179245-60030,179245-60030,15.92000021,1,11.06.2026,SALE
8053607180660,179336-70459,179336-70459,7.92,1,11.06.2026,SALE
8053607404230,179647-80013,179647-80013,15.92,1,11.06.2026,SALE
8053607437948,179939-D0574,179939-D0574,24.00000018,1,11.06.2026,SALE
198481409259,FQ0904-006,FQ0904-006,70.7,1,11.06.2026,SALE
5904292195824, , ,39,1,11.06.2026,SALE
5904292195879, , ,39,1,11.06.2026,SALE
5904292189526,GR-25-32-9008M,GR-25-32-9008M,40.80000002,1,11.06.2026,SALE
5904292190089,GR-25-10-9019M,GR-25-10-9019M,38.3999999,1,11.06.2026,SALE
8054795194026,182268-80013,182268-80013,49.00000032,1,11.06.2026,SALE
4068806220370,IH1426,IH1426,82.8,1,11.06.2026,SALE
4068801941485,JR0767,JR0767,49,1,11.06.2026,SALE
8300958930261,F9303-300,F9303-300,6.32,1,11.06.2026,SALE
8059003074947,F9300-722,F9300-722,7.9,1,11.06.2026,SALE
4068806531797,IH6580,IH6580,76,1,11.06.2026,SALE
4069161830921,397447-57,397447-57,65.00000028,1,11.06.2026,SALE
4068806524072,IH6581,IH6581,76,1,11.06.2026,SALE
4068822938778,KC3417,KC3417,34.2,1,11.06.2026,SALE
4068812108563,JS4768,JS4768,41,1,11.06.2026,SALE
8053607205646,179583-C6122,179583-C6122,30.00000022,1,11.06.2026,SALE
8054795170655,181479-C9625,181479-C9625,30.80000034,1,11.06.2026,SALE
4068819389743,KE1314,KE1314,27,1,11.06.2026,SALE
198729341631,IH1375-100,IH1375-100,33,1,11.06.2026,SALE
1200179869043,100262367,100262367,65,1,11.06.2026,SALE
4068822839228,KC0738,KC0738,38.7,1,11.06.2026,SALE
195866176300,CN9675-011,CN9675-011,42,1,11.06.2026,SALE
