barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
5901479634206,81011V.1,RUNNING,41,80,29.53001421,2,4/9/2026,Male,SS26,Footwear,GRISPORT
5901479634213,81011V.1,RUNNING,42,80,29.53001421,6,4/9/2026,Male,SS26,Footwear,GRISPORT
5901479634220,81011V.1,RUNNING,43,80,29.53001421,6,4/9/2026,Male,SS26,Footwear,GRISPORT
5901479634237,81011V.1,RUNNING,44,80,29.53001421,6,4/9/2026,Male,SS26,Footwear,GRISPORT
5901479634244,81011V.1,RUNNING,45,80,29.53001421,4,4/9/2026,Male,SS26,Footwear,GRISPORT
91491641,44701S9,LEGGERO,41,80,40.24608449,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91491642,44701S9,LEGGERO,42,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491643,44701S9,LEGGERO,43,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491644,44701S9,LEGGERO,44,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491645,44701S9,LEGGERO,45,80,40.24608449,1,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189748,GR-25-10-9012M,RUNNING,40,60,21.28422767,1,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189755,GR-25-10-9012M,RUNNING,41,60,21.28422767,2,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189762,GR-25-10-9012M,RUNNING,42,60,21.28422767,3,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189779,GR-25-10-9012M,RUNNING,43,60,21.28422767,3,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189786,GR-25-10-9012M,RUNNING,44,60,21.75564117,2,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292189793,GR-25-10-9012M,RUNNING,45,60,23.16988169,1,4/9/2026,Male,SS26,Footwear,GRISPORT
91581541,44707V19,VESUVIO,41,80,37.41935892,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91581542,44707V19,VESUVIO,42,80,37.41935892,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91581543,44707V19,VESUVIO,43,80,37.41935892,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91581544,44707V19,VESUVIO,44,80,37.41935892,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91581545,44707V19,VESUVIO,45,80,37.41935892,1,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195824,81009V.1,RUNNING,41,65,26.19355125,2,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195831,81009V.1,RUNNING,42,65,26.19355125,4,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195848,81009V.1,RUNNING,43,65,26.19355125,6,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195855,81009V.1,RUNNING,44,65,26.19355125,6,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195862,81009V.1,RUNNING,45,65,26.19355125,4,4/9/2026,Male,SS26,Footwear,GRISPORT
5904292195879,81009V.1,RUNNING,46,65,26.19355125,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91581640,44707V24,VESUVIO,40,80,37.41935892,1,4/9/2026,Male,SS26,Footwear,GRISPORT
91581641,44707V24,VESUVIO,41,80,37.41935892,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91581642,44707V24,VESUVIO,42,80,37.41935892,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91581643,44707V24,VESUVIO,43,80,37.41935892,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91581644,44707V24,VESUVIO,44,80,37.41935892,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91581645,44707V24,VESUVIO,45,80,37.41935892,1,4/9/2026,Male,SS26,Footwear,GRISPORT
91581646,44707V24,VESUVIO,46,80,37.41935892,1,4/9/2026,Male,SS26,Footwear,GRISPORT
91491541,44701S3,LEGGERO,41,80,40.24608449,2,4/9/2026,Male,SS26,Footwear,GRISPORT
91491542,44701S3,LEGGERO,42,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491543,44701S3,LEGGERO,43,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491544,44701S3,LEGGERO,44,80,40.24608449,3,4/9/2026,Male,SS26,Footwear,GRISPORT
91491545,44701S3,LEGGERO,45,80,40.24608449,1,4/9/2026,Male,SS26,Footwear,GRISPORT
