barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
685068095467,SX4508-965,M,15,1,12.06.2026,SALE
887232701093,SX4926-101,M,24,2,12.06.2026,SALE
887232701109,SX4926-101,L,36,3,12.06.2026,SALE
887232701130,SX4926-901,M,16.79999984,2,12.06.2026,SALE
4061619857139,ED6029,L,20.0000003,1,12.06.2026,SALE
888407303920,AV8055-451,MISC,61.6,4,12.06.2026,SALE
4062064624994,GK9641,L,20,1,12.06.2026,SALE
194497882581,CN9675-100,42.5,35.1,1,12.06.2026,SALE
195243183259,DM2386-050,M,15.9199995,1,12.06.2026,SALE
194501916837,DA5556-010,XL,44.8,1,12.06.2026,SALE
194953017649,CZ9956-063,S,35.84000029,1,12.06.2026,SALE
4062054762187,FM9931,NS,7.2,1,12.06.2026,SALE
4065423636492,HF0448,S,-13.44000058,-1,12.06.2026,RETURN
4065423674784,HC0642,S,18.2400001,1,12.06.2026,SALE
8001234887025,PALAU-W308,37/41,4.32,1,12.06.2026,SALE
4059808213019,F35556,36,20,1,12.06.2026,SALE
TREKKING HIGH,TREKKING HIGH,40/47,51.2,1,12.06.2026,SALE
4066745483450,IC9417,L,36,1,12.06.2026,SALE
196152243935,DH9522-103,40.5,34.40000003,1,12.06.2026,SALE
196152243997,DH9522-103,44.5,34.40000003,1,12.06.2026,SALE
195237031344,DH2987-002,42,64.95000014,1,12.06.2026,SALE
5703543201440,FLASH TURF,5,22.00000024,1,12.06.2026,SALE
4066752113128,IC9287,XL,13.99999955,1,12.06.2026,SALE
8053607176892,179308-80013,M,27,1,12.06.2026,SALE
4066752141091,IC9276,L,15.99200003,1,12.06.2026,SALE
8051931137800,RIMINI-K791,28/35,2.4,1,12.06.2026,SALE
4099686384845,395267-02,37,33.59999968,1,12.06.2026,SALE
4066766854369,IS1382,M,13.99999955,1,12.06.2026,SALE
4099686263010,395267-01,37,39.20000026,1,12.06.2026,SALE
4067887081962,IS1343,M,17.5,1,12.06.2026,SALE
4066746302040,IC1281,L,12,1,12.06.2026,SALE
4066746337127,HT3441,40/42,12.00999988,1,12.06.2026,SALE
4067896779683,JH6677,39.1/3,29.95000008,1,12.06.2026,SALE
4067896499727,IV9446,128,42,1,12.06.2026,SALE
4067896499727,IV9446,128,-41.9999996,-1,12.06.2026,RETURN
8053607722884,181182-80013,XL,14.95000056,1,12.06.2026,SALE
8053607722914,181182-80013,L,14.95000056,1,12.06.2026,SALE
4067892997951,JI0980,21,23.1,1,12.06.2026,SALE
8300958910478,F9300-200,43/46,7.9,1,12.06.2026,SALE
8300958474574,F4403-200,43/46,8.9,1,12.06.2026,SALE
8300958910362,F9300-300,35/38,6.32,1,12.06.2026,SALE
8300958930278,F9303-300,39/42,6.32,1,12.06.2026,SALE
8054795042570,181479-C1512,42.5,38.5,1,12.06.2026,SALE
4067983347689,684832-01,L,17.5,1,12.06.2026,SALE
4067903937754,JS3545,24,32.4,1,12.06.2026,SALE
4067894332644,IV5217,L,32,1,12.06.2026,SALE
4067905816682,JF1092,M,27,1,12.06.2026,SALE
4067906171391,JD1779,L,27,1,12.06.2026,SALE
4067904575009,JI3473,39.1/3,59.90000016,2,12.06.2026,SALE
8053607180523,179340-35022,XXL,14.4,1,12.06.2026,SALE
8053607190485,179353-20002,L,12,1,12.06.2026,SALE
8053607394449,179855-60050,L,31.4999997,1,12.06.2026,SALE
4067903814369,JQ2572,42,43,1,12.06.2026,SALE
197863922492,IB8413-010,L,31.5,1,12.06.2026,SALE
4069156625327,393837-58,39,38.5,1,12.06.2026,SALE
4067897799932,IH8585,44,76,1,12.06.2026,SALE
8053607178544,179341-80013,XL,7.92,1,12.06.2026,SALE
4068801101070,JQ2867,29,30.4,1,12.06.2026,SALE
5904292195831,81009V.1,42,39,1,12.06.2026,SALE
5904292195848,81009V.1,43,-38.99999946,-1,12.06.2026,RETURN
5904292195848,81009V.1,43,39,1,12.06.2026,SALE
5904292195862,81009V.1,45,39.00999996,1,12.06.2026,SALE
5904292189465,GR-25-32-9007M,41,51,1,12.06.2026,SALE
4068806220370,IH1426,42,-81.9999995,-1,12.06.2026,RETURN
4068816702453,KI8861,34,41,1,12.06.2026,SALE
4068812234057,JS2215,41.1/3,65,1,12.06.2026,SALE
4068815900027,KI6489,36.2/3,54,1,12.06.2026,SALE
4068806524010,IH6581,42,70.00000012,1,12.06.2026,SALE
4068806631732,JQ7275,42,87.3,1,12.06.2026,SALE
4069161522222,404327-07,43,152,1,12.06.2026,SALE
4068816356601,KI6494,35,44.1,1,12.06.2026,SALE
8054795370604,182471-60161,27,33,1,12.06.2026,SALE
4069156771598,402596-01,44.5,65,1,12.06.2026,SALE
8054795169956,181478-D0525,35.5,24.50000016,1,12.06.2026,SALE
8054795318033,182895-60062,S,30.00999954,1,12.06.2026,SALE
8054795318057,182895-60062,L,-30,-1,12.06.2026,RETURN
198727676308,IO7994-010,XS,54,1,12.06.2026,SALE
198731508886,IQ0471-011,L,29.7,1,12.06.2026,SALE
198958073143,IQ0471-393,L,29.7,1,12.06.2026,SALE
198958078629,IQ0471-101,L,29.7,1,12.06.2026,SALE
