barcode,sku,size,price_sold,sold_quantity,sale_date,transaction_type
676556450875,819352-001,36,27.9,1,13.06.2026,SALE
676556451155,819352-001,38.5,27.9,1,13.06.2026,SALE
666032015858,SX0891-101,27/30,3.999999872,1,13.06.2026,SALE
193146344531,BV2662-010,S,38.07999995,1,13.06.2026,SALE
193150985942,BV2772-063,XL,23.1,1,13.06.2026,SALE
888407303920,AV8055-451,MISC,35.2,2,13.06.2026,SALE
4062061427314,GH0332,M,5.599999632,1,13.06.2026,SALE
193656271860,AR5254-011,XL,16,1,13.06.2026,SALE
194953017533,CZ9956-010,M,35.84000029,1,13.06.2026,SALE
4064533017207,534228-01,S,15.9199995,1,13.06.2026,SALE
4064533017276,534228-02,XS,15.9199995,1,13.06.2026,SALE
4065424189935,H65817,92,26.4,1,13.06.2026,SALE
4065423672773,HF7236,L,19.6,1,13.06.2026,SALE
4064044389268,GM7345,M,22.40000042,1,13.06.2026,SALE
8032521109179,175866-60063,M,15.67999954,1,13.06.2026,SALE
4065418367042,GW0418,36.2/3,23.96000006,1,13.06.2026,SALE
4064055409047,GS1379,S,16.79999984,1,13.06.2026,SALE
4065422596889,HC0106,M,15.92000021,1,13.06.2026,SALE
196149519975,BQ5453-404,23.5,25.76000038,1,13.06.2026,SALE
196149519982,BQ5453-404,25,25.76000038,1,13.06.2026,SALE
4065427242156,GV8996,40,31.99999992,1,13.06.2026,SALE
196149257648,DQ5191-063,XL,34.71999998,1,13.06.2026,SALE
4066745483641,IC9417,S,36,1,13.06.2026,SALE
8053607187263,179486-D0211,XL,7.91999952,1,13.06.2026,SALE
4064537892428,535685-01,M,28.00000005,1,13.06.2026,SALE
4066745436135,HA4341,M,25.59999994,1,13.06.2026,SALE
4066745295039,IC9282,L,20,1,13.06.2026,SALE
4066752269481,IC8816,L,21.60000006,1,13.06.2026,SALE
4066765086587,IF4031,44,33.59999968,1,13.06.2026,SALE
4066746416433,IC1305,L,12,1,13.06.2026,SALE
4067886737990,IE3630,38,54,1,13.06.2026,SALE
8300958100657,D9355-400,39-42,10,1,13.06.2026,SALE
8300958100565,D9355-300,39-42,8,1,13.06.2026,SALE
8300958100985,D1205-200,39-42,8,1,13.06.2026,SALE
4099685705375,090238-01,X,20,1,13.06.2026,SALE
4067897212578,IH6130,43.1/3,39.94999976,1,13.06.2026,SALE
4067897212479,IH6130,42.2/3,31.94999978,1,13.06.2026,SALE
884500516366,394055-001,42,63,1,13.06.2026,SALE
4067983354762,629644-93,XL,20,1,13.06.2026,SALE
4067983354793,629644-93,M,20,1,13.06.2026,SALE
